Domain,Category ,Definition ,Sub-category ,Definition ,Factor,Definition ,Source ,Type ,Qualitative,DHS,Pathways Survey,Second Domain ,Application (Geography),Alternative questions in DHS 7,Other Notes,Why does it impact vulnerability and overall health outcomes
Women and her past experiences ,Partnership and reproductive milestones ,"The woman’s relationship history and key reproductive events, such as marriage(s), sexual initiation and births across partnerships.",Timing of milestones,"The age of the woman at various partnership and reproductive milestones in her life. The age of the woman at various milestones serves as an indication of the early onset of stressors, which adds to her vulnerability towards bad health outcomes.",Age at first sex,The participant's age at sexual debut ,,,FALSE,TRUE,TRUE,,,,,
Household relationships,Partnership and reproductive milestones ,"The woman’s relationship history and key reproductive events, such as marriage(s), sexual initiation and births across partnerships.",Timing of milestones,"The age of the woman at various partnership and reproductive milestones in her life. The age of the woman at various milestones serves as an indication of the early onset of stressors, which adds to her vulnerability towards bad health outcomes.",Age at cohabitation ,The age at which the participant started living with a partner,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Women and her past experiences ,Partnership and reproductive milestones ,"The woman’s relationship history and key reproductive events, such as marriage(s), sexual initiation and births across partnerships.",Timing of milestones,"The age of the woman at various partnership and reproductive milestones in her life. The age of the woman at various milestones serves as an indication of the early onset of stressors, which adds to her vulnerability towards bad health outcomes.",Age at marriage,The participant's age at marriage/cohabitation,Survey and DHS,,FALSE,TRUE,TRUE,,,,,
Women and her past experiences ,Partnership and reproductive milestones ,"The woman’s relationship history and key reproductive events, such as marriage(s), sexual initiation and births across partnerships.",Timing of milestones,"The age of the woman at various partnership and reproductive milestones in her life. The age of the woman at various milestones serves as an indication of the early onset of stressors, which adds to her vulnerability towards bad health outcomes.",Age at first pregnancy,The participant's age at first pregnancy,,,FALSE,TRUE,TRUE,Health mental models,,,,
Women and her past experiences ,Partnership and reproductive milestones ,"The woman’s relationship history and key reproductive events, such as marriage(s), sexual initiation and births across partnerships.",Timing of milestones,"The age of the woman at various partnership and reproductive milestones in her life. The age of the woman at various milestones serves as an indication of the early onset of stressors, which adds to her vulnerability towards bad health outcomes.",Age at first child birth,The participant's age at first birth,,,FALSE,TRUE,TRUE,,,,,
Women and her past experiences ,Partnership and reproductive milestones ,"The woman’s relationship history and key reproductive events, such as marriage(s), sexual initiation and births across partnerships.",Timing of milestones,"The age of the woman at various partnership and reproductive milestones in her life. The age of the woman at various milestones serves as an indication of the early onset of stressors, which adds to her vulnerability towards bad health outcomes.",Time from marriage to first sex,The time between marriage/cohabiting with a partner and sexual debut,,,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Partnership and reproductive milestones ,"The woman’s relationship history and key reproductive events, such as marriage(s), sexual initiation and births across partnerships.",Timing of milestones,"The age of the woman at various partnership and reproductive milestones in her life. The age of the woman at various milestones serves as an indication of the early onset of stressors, which adds to her vulnerability towards bad health outcomes.",Time from marriage to first birth,The time between marriage/cohabitation to her first birth,,,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Gender Norms ,"The gendered expectations, roles and social rules the woman has internalised or experienced which are shaped by her community or natal environment.",Internalization of gender norms ,"Captures how a woman perceives, accepts, and aligns with prevailing gender norms, including her own attitudes and the degree of social pressure to conform.",Descriptive gender norm score  ,The extent to which the participant perceives that most women in her community agree to certain gender norms  ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,"Socially reinforced gender norms shape agency, negotiation power, and perceived legitimacy of care-seeking, affecting health behaviours."
Women and her past experiences ,Gender Norms ,"The gendered expectations, roles and social rules the woman has internalised or experienced which are shaped by her community or natal environment.",Internalization of gender norms ,"Captures how a woman perceives, accepts, and aligns with prevailing gender norms, including her own attitudes and the degree of social pressure to conform.",Injunctive gender norm score  ,The extent to which the participant perceives that her community expects or approves of her following certain gender norms ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Gender Norms ,"The gendered expectations, roles and social rules the woman has internalised or experienced which are shaped by her community or natal environment.",Internalization of gender norms ,"Captures how a woman perceives, accepts, and aligns with prevailing gender norms, including her own attitudes and the degree of social pressure to conform.",Norm alignment type ,"Alignment between what a woman perceives others are doing (descriptive norm) and what she perceives others expect or approve (injunctive norm) around a specific norms, to interpret the social acceptability and diffusion stage of that norm 

High-High: Progressive gender norms 
Low- Low: Embedded traditional gender norms 
Low- High: Social tension and readiness for change 
High- Low: Disagreement with dominant norm",,Qualitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Gender Norms ,"The gendered expectations, roles and social rules the woman has internalised or experienced which are shaped by her community or natal environment.",Internalization of gender norms ,"Captures how a woman perceives, accepts, and aligns with prevailing gender norms, including her own attitudes and the degree of social pressure to conform.",Agreement with gender norms,"The level of agreement that the participant and her partner have towards norms around gender based roles and duties 

- Gender role associated with procreation 
- Gender role associated with passivity in sexual decisions 
- Gender role associated with obeying the man 
- Gender role associated with division of labour between home and outside 
- Gender role associated with male preference
- Gender role associated with responsibility over family planning",,Qualitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Gender Norms ,"The gendered expectations, roles and social rules the woman has internalised or experienced which are shaped by her community or natal environment.",Internalization of gender norms ,"Captures how a woman perceives, accepts, and aligns with prevailing gender norms, including her own attitudes and the degree of social pressure to conform.",Male child preference,The number of male children the participant desires compared to the number of female children,,,FALSE,TRUE,TRUE,Health mental models,,,,
Women and her past experiences ,Gender Norms ,"The gendered expectations, roles and social rules the woman has internalised or experienced which are shaped by her community or natal environment.",Internalization of gender norms ,"Captures how a woman perceives, accepts, and aligns with prevailing gender norms, including her own attitudes and the degree of social pressure to conform.",Justification of domestic violence,The level to which the participant justifies domestic violence in different scenarios,Primary Survey,Quantitative,FALSE,TRUE,TRUE,Household Relationships,,,When using DHS data sets this factor will be a proxy for internalized gender norms ,
Women and her past experiences ,Gender Norms ,"The gendered expectations, roles and social rules the woman has internalised or experienced which are shaped by her community or natal environment.",Norms around marriage ,"Social expectations and cultural beliefs that shape when, how, and whom a woman is expected to marry.",Intention to get married ,Whether the participant wanted to get married at the time of her first marriage ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Gender Norms ,"The gendered expectations, roles and social rules the woman has internalised or experienced which are shaped by her community or natal environment.",Norms around marriage ,,Decision to get married ,Who made the decision about the participant's first marriage,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Gender Norms ,"The gendered expectations, roles and social rules the woman has internalised or experienced which are shaped by her community or natal environment.",Norms around marriage ,,Dowry status ,Whether any dowry or bride price was paid in the marriage ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,Regional,,,
Women and her past experiences ,Gender Norms ,"The gendered expectations, roles and social rules the woman has internalised or experienced which are shaped by her community or natal environment.",Norms around marriage ,,Perception around dowry ,"Whether the participant feels that the dowry/bride price paid by the partner was a small, moderate or large amount ",Primary Survey,Quantitative,FALSE,FALSE,TRUE,,Regional,,,
Women and her past experiences ,Gender Norms ,"The gendered expectations, roles and social rules the woman has internalised or experienced which are shaped by her community or natal environment.",Norms around marriage ,,Reasons behind marriage,"The participant's reasons for her marriage/relationship 

- Economic stress driven (death of a parent, absence of money) 
- Aspiration/Expectation driven (good offer, richer family) 
- Social stress driven (Love,Pregnancy) 
- Norm driven (right age, start a family) (to be assessed based on age)",,Qualitative,TRUE,FALSE,FALSE,,,,,
Women and her past experiences ,Mental health and well being ,The woman’s  psychological health and coping potential shaped by long-term stressors or past trauma.,Mental health and well being ,NA,Psychological well being ,The participant's self assessment of her mental state in the past two weeks ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,"Psychological well-being affects vulnerability by shaping coping capacity and mechanisms, which impact consistency of health behaviors and engagement with health services. "
Women and her past experiences ,Mental health and well being ,The woman’s  psychological health and coping potential shaped by long-term stressors or past trauma.,Mental health and well being ,NA,Coping potential,"Whether the participant feels that she can control what happens with her life, or feels helpless in dealing with difficulties in her life",,Qualitative,FALSE,FALSE,TRUE,,,,,
Women and her past experiences ,Mental health and well being ,The woman’s  psychological health and coping potential shaped by long-term stressors or past trauma.,Mental health and well being ,NA,Coping style,"Whether the participant largely has a coping style which entails confronting a hardship, avoiding a hardship or accepting a hardship.",,Qualitative,TRUE,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Number of members in the HH ,The total number of members living in the household ,,,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Cohabiting adult(s) in household,The total number of adults staying under the same roof and using the same stove.,Primary Survey,,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Presence of close family members in the household ,Whether any close family members stay in the same household ,Primary Survey,,FALSE,TRUE,TRUE,,,Number of sons and daughters staying in the household ,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Presence of other close family members nearby ,"Whether any close family members stay in the same compound, but not the same household ",Primary Survey,,FALSE,TRUE,TRUE,Social support,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Head of the household,"The household member who is primarily responsible for supporting and maintaining the household, and making most decisions in the household.",Primary Survey,,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Sex of the head of the household ,The sex of the head of the household ,Survey and DHS,,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Absence of male partner ,Whether the initimate partner of the woman is away from the house for more than a month in the past year ,Primary Survey,,FALSE,TRUE,TRUE,Human and Natural systems,,,"Partner absence impacts support availability and decision making power at home, influencing overall partner and power dynamics in the relationship. ",
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Number of children in household,The number of children in the household under the age of 18.,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Number of biological children in household,The number of the woman's biological children living in the household.,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Biological children's ages,Identifies the ages of all biological children in the household.,Survey and DHS,,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Number of biological children in the household under the age of 5,The number of the woman's biological children who are under the age of 5,Survey and DHS,,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Caregiver for non-biological children,Whether the participant is the primary care-giver to the non-biological children in the household,,,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Household Composition,"The number of members in the family in different roles and the economic, drudgery and support burden in the household.",Living with a support person,Whether the participant lives with someone in the house who can support her for child care,,,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Marriage and cohabitation,The type of the marital union or relationship type that the woman has along with the nature of cohabitation.,Marital status,"Whether the participant is married, widowed, in a relationship, divorced/separated or never married",Survey and DHS,,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Marriage and cohabitation,The type of the marital union or relationship type that the woman has along with the nature of cohabitation.,Type of marriage (legality) ,"The legal status of the marriage: e.g. traditional, civil and religious marriage ",Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Marriage and cohabitation,The type of the marital union or relationship type that the woman has along with the nature of cohabitation.,Type of marriage (monogamy/polygamy),Whether the participant is in a monogamous or polygamous marriage or partnership,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Marriage and cohabitation,The type of the marital union or relationship type that the woman has along with the nature of cohabitation.,Wife order if applicable,The number of the participant's union among co-wives,Survey and DHS,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Marriage and cohabitation,The type of the marital union or relationship type that the woman has along with the nature of cohabitation.,Number of partners of husband ,The number of the husband's wives/partners,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Marriage and cohabitation,The type of the marital union or relationship type that the woman has along with the nature of cohabitation.,Length of the marriage/cohabitation,The number of years that the participant has lived with her partner,,,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Marriage and cohabitation,The type of the marital union or relationship type that the woman has along with the nature of cohabitation.,Number of sexual partners ,The number of lifetime sexual partners for the woman,,,FALSE,TRUE,FALSE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Marriage and cohabitation,The type of the marital union or relationship type that the woman has along with the nature of cohabitation.,Prior unions,Whether the woman has had prior unions,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Marriage and cohabitation,The type of the marital union or relationship type that the woman has along with the nature of cohabitation.,Children with multiple partners ,Whether the woman has had children with more than one man ,Primary Survey,Quantitative,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Household structure ,"The composition and configuration of the household, including the woman’s relational position and co-residence with kin or in-laws.",Marriage and cohabitation,The type of the marital union or relationship type that the woman has along with the nature of cohabitation.,Marriage registration,Whether the participant has registered the current marrige and has any documentation for it,,,FALSE,TRUE,TRUE,,,,,
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Trust,"The level of trust that the woman has towards her partner. Trust is understood through 4 dimensions (explored in the behavioral reserach): Transparency, Sense of safety, Perceived sense of integrity of the partner and Perceived certainty/Predictability of support",Trust index ,The extent to which the participant trusts her partner/husband ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Trust,"The level of trust that the woman has towards her partner. Trust is understood through 4 dimensions (explored in the behavioral reserach): Transparency, Sense of safety, Perceived sense of integrity of the partner and Perceived certainty/Predictability of support",Perception of transparency,Whether the participant feels her partner is honest and truthful with her ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Trust,"The level of trust that the woman has towards her partner. Trust is understood through 4 dimensions (explored in the behavioral reserach): Transparency, Sense of safety, Perceived sense of integrity of the partner and Perceived certainty/Predictability of support",Perception of fairness ,Whether the participant feels that her partner treats her justly and fairly ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Trust,"The level of trust that the woman has towards her partner. Trust is understood through 4 dimensions (explored in the behavioral reserach): Transparency, Sense of safety, Perceived sense of integrity of the partner and Perceived certainty/Predictability of support",Perception of certainty of support,Whether the participant feels that she can count on her partner to support her ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
Household Relationships ,Partner dynamics ,"The emotional, communicative, and functional aspects of the woman’s relationship with her partner, including support, trust, and compatibility.",Trust,"The level of trust that the woman has towards her partner. Trust is understood through 4 dimensions (explored in the behavioral reserach): Transparency, Sense of safety, Perceived sense of integrity of the partner and Perceived certainty/Predictability of support",Perception of integrity,Whether the participant feels that her partner is sincere in his promises ,Primary Survey,Quantitative,FALSE,FALSE,TRUE,,,,,
